event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude,rainfall_24h_mm,rainfall_3d_mm,rainfall_7d_mm,temperature_c,soil_water_layer_1,soil_water_layer_2,surface_pressure_hpa
1109,2009-08-20 00:00:00,Lumding-Badarpur section in North Cachar Hills district,Lumding-Badarpur section in North Cachar Hills district,Assam,landslide,downpour,medium,unknown,0.0,,93.1645,25.5215,42.98590123653412,154.02479097247124,1460.7890462502837,25.505181884765648,0.4653536379337311,0.4516519010066986,963.428203125
1125,2009-08-26 00:00:00,"17th Mile towards Tsomgo Lake, near Kyongsala, Sikkim ","17th Mile towards Tsomgo Lake, near Kyongsala, Sikkim ",Sikkim,landslide,rain,medium,unknown,,,88.7648,27.3746,204.94532585144043,1048.6215949058533,2605.779767036438,7.899774169921898,0.4238554537296295,0.42486509680747986,638.30015625
1127,2009-08-27 00:00:00,between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),between Mahur and Phaiding railway stations on Barail hills (Mahur and Barail hills located),Assam,landslide,downpour,medium,unknown,,,93.123,25.1718,116.86863750219345,352.33423486351967,1489.1291223466396,23.130853271484398,0.4922657012939453,0.4908790588378906,923.221484375
1129,2009-08-30 00:00:00,"Road stretch from Gammom to Chamu village, under Kamjong block, Ukhrul district, Manipur","Road stretch from Gammom to Chamu village, under Kamjong block, Ukhrul district, Manipur",Manipur,landslide,downpour,medium,unknown,,,94.4182,24.8628,230.6683510541916,422.0235049724579,711.7157354950905,21.817254638671898,0.4205080568790436,0.4234199523925781,890.838125
1168,2009-09-17 00:00:00,"4th Mile on road between Rongli, Rhenock and Rangpo in East Sikkim.","4th Mile on road between Rongli, Rhenock and Rangpo in East Sikkim.",Sikkim,landslide,rain,medium,unknown,,,88.6115,27.1954,163.16300630569458,335.7463553547859,1717.0692682266235,20.704614257812523,0.4167429506778717,0.4066976010799408,867.265
1222,2009-10-05 00:00:00,"Chhinga Veng, Aizawl","Chhinga Veng, Aizawl",Mizoram,landslide,downpour,medium,urban,3.0,,92.72124394,23.73478778,265.26227593421936,1091.901808977127,1244.5868626236916,23.186944580078148,0.4251047670841217,0.42690911889076233,943.832734375
1596,2010-03-27 20:00:00,"LangthAbal Khoupum, Imphal, Manipur","LangthAbal Khoupum, Imphal, Manipur",Manipur,mudslide,downpour,medium,unknown,0.0,,93.9161,24.7339,29.70515750348568,29.73447634940385,31.425834168373967,23.688165283203148,0.18022029101848602,0.18865585327148438,920.075
1611,2010-04-01 00:00:00,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam","Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam",Assam,landslide,downpour,medium,unknown,3.0,,93.028,25.1553,123.501718044281,1186.548352241516,1700.331540661864,20.800286865234398,0.48788323998451233,0.49322447180747986,934.843125
1613,2010-04-02 23:00:00,"Koloriang, Kuring Kumey district, Arunachal Pradesh","Koloriang, Kuring Kumey district, Arunachal Pradesh",Arunachal Pradesh,mudslide,downpour,large,unknown,12.0,,93.3497,27.8997,324.0787386894226,841.7584300041199,1750.065103173256,10.994256591796898,0.42637062072753906,0.42613664269447327,777.00046875
1756,2010-04-17 00:00:00,"Nam Nang, Gangtok","Nam Nang, Gangtok",Sikkim,landslide,downpour,small,unknown,0.0,,88.6087,27.322,80.5806815624237,172.12090641260147,437.2959602624178,17.621728515625023,0.39114952087402344,0.37952932715415955,850.088203125
1755,2010-04-17 15:00:00,"Natl. Highway 31-A at Pani House(?), Gangtok","Natl. Highway 31-A at Pani House(?), Gangtok",Sikkim,landslide,downpour,small,unknown,0.0,,88.6083,27.3341,80.5806815624237,172.12090641260147,437.2959602624178,17.621728515625023,0.39114952087402344,0.37952932715415955,850.088203125
1770,2010-04-20 00:00:00,"Kharghuli, Guwahati, Assam","Kharghuli, Guwahati, Assam",Assam,landslide,downpour,medium,unknown,0.0,,91.763,26.1965,553.8814663887024,1109.2861890792847,1920.2378541231155,22.373803710937523,0.47378602623939514,0.49629783630371094,991.53375
1771,2010-04-20 00:00:00,"Raj Bhavan Guwahati, Assam","Raj Bhavan Guwahati, Assam",Assam,landslide,downpour,medium,unknown,0.0,,91.7665,26.1978,553.8814663887024,1109.2861890792847,1920.2378541231155,22.373803710937523,0.47378602623939514,0.49629783630371094,991.53375
1776,2010-04-21 00:00:00,Shillong-Jowai(Jwai)-Badarpur National Highway(NH 44) at Sunapur village in Jaintia Hills District,Shillong-Jowai(Jwai)-Badarpur National Highway(NH 44) at Sunapur village in Jaintia Hills District,Meghalaya,landslide,downpour,medium,unknown,0.0,,92.2845,25.3612,411.63140535354614,2615.717589855194,3665.4281839728355,19.299859619140648,0.4813709259033203,0.47605958580970764,868.581328125
1775,2010-04-21 00:00:00,Arunachal Pradesh ,Arunachal Pradesh ,Arunachal Pradesh,landslide,downpour,medium,unknown,12.0,,96.1779,27.8965,838.0076885223389,1683.3951771259308,1888.4222470223904,21.382958984375023,0.483257919549942,0.491436630487442,967.199296875
1857,2010-05-11 09:00:00,"National highway 44 at Sunapur and Tongseng in Jaintia Hills district, eastern Meghalaya","National highway 44 at Sunapur and Tongseng in Jaintia Hills district, eastern Meghalaya",Meghalaya,landslide,downpour,medium,unknown,0.0,,92.2897,25.3433,344.58133578300476,1671.6758906841278,1952.2890727967024,21.711419677734398,0.4843679964542389,0.4805208742618561,901.757578125
1930,2010-05-31 00:00:00,"Anini-Roing road,  Dibang Valley,  Arunachal Pradesh ","Anini-Roing road,  Dibang Valley,  Arunachal Pradesh ",Arunachal Pradesh,landslide,downpour,medium,unknown,0.0,,95.8776,28.4298,412.4434292316437,736.8936240673065,1524.530217051506,18.250543212890648,0.42663320899009705,0.42747053503990173,836.603828125
1929,2010-05-31 23:00:00,"North Sikkiim Highway, periphery of Gangtok, Sikkim East district","North Sikkiim Highway, periphery of Gangtok, Sikkim East district",Sikkim,landslide,downpour,medium,unknown,0.0,,88.6428,27.3543,120.186448097229,291.2397161126137,829.2987495660782,17.972711181640648,0.40463003516197205,0.4001197814941406,800.490078125
1935,2010-06-03 00:00:00,"atharamura hills, Highway 44, Tripura","atharamura hills, Highway 44, Tripura",Tripura,landslide,downpour,medium,unknown,0.0,,91.7599,23.8986,56.78007751703262,170.45922204852104,1326.485376805067,28.343377685546898,0.407489150762558,0.40728631615638733,992.080390625
1934,2010-06-03 05:00:00,Rongpur village under Bhairabhnagar panchayat in Karimganj district,Rongpur village under Bhairabhnagar panchayat in Karimganj district,Assam,landslide,downpour,medium,unknown,2.0,,92.3814,24.6005,68.62956285476685,337.24765479564667,1441.1212354898453,27.655206298828148,0.4493204653263092,0.449963241815567,1000.579609375
1954,2010-06-07 00:00:00,"Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur","Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur",Manipur,landslide,rain,medium,unknown,0.0,,93.5039,24.7543,130.56910037994385,331.39992505311966,799.7011095285416,24.138360595703148,0.41935601830482483,0.4166196286678314,934.751875
1961,2010-06-09 14:15:00,"Ishok Chingphu(?), Bishnupur, Assam","Ishok Chingphu(?), Bishnupur, Assam",Meghalaya,landslide,downpour,medium,unknown,0.0,,91.2,25.8833,273.94282817840576,558.9171424508095,2261.5064084529877,24.606195068359398,0.48979058861732483,0.49881744384765625,978.800390625
