event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude
4757,2013-02-18 00:00:00,"East Siang, Arunachal Pradesh","East Siang, Arunachal Pradesh",Arunachal Pradesh,landslide,rain,medium,unknown,3.0,2.0,95.1645,28.1193
4798,2013-04-07 00:00:00,"Dibang Valley, Arunachal Pradesh","Dibang Valley, Arunachal Pradesh",Arunachal Pradesh,landslide,rain,medium,unknown,,,96.1509,28.8254
4845,2013-05-07 00:00:00,"Kolasib, Saiha, Mizoram,","Kolasib, Saiha, Mizoram,",Mizoram,mudslide,rain,medium,unknown,,,92.6755,24.2315
4848,2013-05-08 00:00:00,"Purba Simna, Tripura","Purba Simna, Tripura",Tripura,landslide,rain,medium,unknown,1.0,,91.4663,24.0896
4860,2013-05-11 00:00:00,"Boragaon, North Guwahati, Guwahati, Assam,","Boragaon, North Guwahati, Guwahati, Assam,",Assam,landslide,rain,medium,unknown,,,91.6906,26.1016
4859,2013-05-11 00:00:00,"Sarania Hills, North Guwahati, Guwahati, Assam,","Sarania Hills, North Guwahati, Guwahati, Assam,",Assam,landslide,rain,medium,unknown,,1.0,91.7599,26.1771
4858,2013-05-11 09:00:00,"Nursery, North Guwahati, Guwahati, Assam,","Nursery, North Guwahati, Guwahati, Assam,",Assam,landslide,rain,medium,unknown,,,91.7138,26.1662
4857,2013-05-11 09:00:00,"Laipuitland , Aizawl, Mizoram","Laipuitland , Aizawl, Mizoram",Mizoram,landslide,rain,large,unknown,15.0,,92.7175,23.7281
4861,2013-05-12 00:00:00,"Khongsang, Tamenglong, Manipur,","Khongsang, Tamenglong, Manipur,",Assam,mudslide,rain,medium,unknown,,,93.4946,24.9926
4892,2013-06-01 00:00:00,Upper Subansiri,Upper Subansiri,Arunachal Pradesh,landslide,downpour,large,unknown,,,94.25,27.8776
4906,2013-06-07 00:00:00,"Helipong-Chessore Road, Nagaland","Helipong-Chessore Road, Nagaland",Nagaland,landslide,unknown,medium,unknown,,,94.7499,26.0977
4905,2013-06-07 00:00:00,"Kuthur – Huker Road Via Y Anner, Chessore, Nagaland","Kuthur – Huker Road Via Y Anner, Chessore, Nagaland",Nagaland,landslide,unknown,medium,unknown,,,94.7031,26.0977
4908,2013-06-08 17:00:00,"15 Km From Gangtok, Himalayans","15 Km From Gangtok, Himalayans",Sikkim,landslide,downpour,medium,unknown,0.0,,88.708,27.3721
4990,2013-06-27 23:00:00,"Near Changu Lake, 15Km Away From Nathu La, On India-China Border In Eastern Sikkim","Near Changu Lake, 15Km Away From Nathu La, On India-China Border In Eastern Sikkim",Sikkim,landslide,downpour,medium,unknown,0.0,,88.7628,27.3765
5005,2013-07-01 00:00:00,"Walo Ward, Mon Town, Wokha District, Nagaland","Walo Ward, Mon Town, Wokha District, Nagaland",Nagaland,landslide,downpour,medium,unknown,0.0,,95.029,26.72
5006,2013-07-01 00:00:00,"Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road","Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road",Nagaland,landslide,downpour,medium,unknown,0.0,,94.3864,26.1147
5087,2013-07-12 00:00:00,"National Highway 29 Near Phesama Village, Nagaland","National Highway 29 Near Phesama Village, Nagaland",Nagaland,landslide,downpour,medium,unknown,0.0,,94.1139,25.6269
5084,2013-07-12 23:00:00,"National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland","National Highway 2 Near Phesama Village Close To Kisama Naha Heritage Site, Kohima District, Nagaland",Nagaland,landslide,downpour,medium,unknown,0.0,,94.1167,25.616
5107,2013-07-15 00:00:00,"National Highway 29 Near Phesama Village, Nagaland","National Highway 29 Near Phesama Village, Nagaland",Nagaland,landslide,rain,medium,unknown,0.0,,94.1139,25.6269
5123,2013-07-17 00:00:00,"National Highway 2 Near Meriema Village, 10 Km Away From Kohima","National Highway 2 Near Meriema Village, 10 Km Away From Kohima",Nagaland,mudslide,rain,medium,unknown,0.0,,94.0885,25.7131
5122,2013-07-17 00:00:00,"National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland","National Highway 29 Between Patkai Bridge And Kukidolong, Nagaland",Nagaland,mudslide,rain,medium,unknown,0.0,,93.9413,25.7658
5250,2013-08-01 00:00:00,"Polo River At Polosang, Arunachal Pradesh","Polo River At Polosang, Arunachal Pradesh",Arunachal Pradesh,mudslide,rain,medium,unknown,,,93.0515,27.8837
5269,2013-08-04 00:00:00,"Tizu, Nagaland","Tizu, Nagaland",Nagaland,landslide,continuous_rain,medium,unknown,,,94.5234,25.8376
5275,2013-08-04 00:00:00,"Suruhuto Town, Nagaland","Suruhuto Town, Nagaland",Nagaland,landslide,monsoon,medium,unknown,,,94.6055,26.1498
5272,2013-08-04 00:00:00,"Longsa, Nagaland","Longsa, Nagaland",Nagaland,landslide,monsoon,medium,unknown,,,94.5438,26.2083
5271,2013-08-04 00:00:00,"Nanga, Nagaland","Nanga, Nagaland",Nagaland,landslide,continuous_rain,medium,unknown,,,94.5808,26.284
5268,2013-08-04 00:00:00,"Zunheboto, Nagaland","Zunheboto, Nagaland",Nagaland,landslide,continuous_rain,medium,unknown,,,94.5163,26.0137
5270,2013-08-04 00:00:00,"Phizo, Nagaland","Phizo, Nagaland",Nagaland,landslide,continuous_rain,medium,unknown,,,94.4619,26.0481
5274,2013-08-04 00:00:00,"Suruhuto Town, Nagaland","Suruhuto Town, Nagaland",Nagaland,landslide,rain,medium,unknown,,,94.564,26.0838
5273,2013-08-04 00:00:00,"Zhekuto, Nagaland","Zhekuto, Nagaland",Nagaland,landslide,monsoon,medium,unknown,,,94.5497,26.1807
5300,2013-08-09 00:00:00,"Senapati, Manipur","Senapati, Manipur",Nagaland,landslide,downpour,large,unknown,,,94.0441,25.318
5312,2013-08-11 23:00:00,Kangtsung Village,Kangtsung Village,Assam,landslide,downpour,very_large,unknown,0.0,,94.693,26.7103
5427,2013-08-15 00:00:00,"Koide Government High School, Senapati, Manipur","Koide Government High School, Senapati, Manipur",Nagaland,landslide,downpour,medium,unknown,,,94.1884,25.3833
5337,2013-08-16 00:00:00,"Yakshu, Nagaland","Yakshu, Nagaland",Nagaland,landslide,rain,medium,unknown,,,94.9731,26.4205
5338,2013-08-16 00:00:00,"Longlem, Nagaland","Longlem, Nagaland",Assam,landslide,rain,medium,unknown,,,94.9275,26.8727
5336,2013-08-16 00:00:00,"Tobu, Nagaland","Tobu, Nagaland",Nagaland,landslide,rain,medium,unknown,,,94.9439,26.3897
5343,2013-08-17 23:00:00,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,The Imphal-Jiribam Section Of Nh-37 In Tamenglong District,Assam,landslide,continuous_rain,medium,unknown,,,93.4341,24.7625
5421,2013-08-30 00:00:00,"Yakshu, Nagaland","Yakshu, Nagaland",Nagaland,mudslide,unknown,medium,unknown,,,94.9731,26.4205
5430,2013-09-01 00:00:00,"Tamenglong- Khongsang Road, Manipur","Tamenglong- Khongsang Road, Manipur",Manipur,mudslide,continuous_rain,medium,unknown,0.0,,93.487,24.9037
5431,2013-09-01 00:00:00,"Tamenglong, Manipur","Tamenglong, Manipur",Assam,mudslide,continuous_rain,medium,unknown,0.0,,93.5063,24.9829
5429,2013-09-01 18:00:00,Tamabong Village In Sikkim State,Tamabong Village In Sikkim State,Sikkim,landslide,downpour,medium,unknown,5.0,,88.2426,27.3425
5442,2013-09-02 00:00:00,Arunachal Pradesh,Arunachal Pradesh,Arunachal Pradesh,landslide,downpour,large,unknown,,,93.7525,27.1614
5441,2013-09-02 00:00:00,"Gosang Village Under Jengging Circle, Arunachal Pradesh","Gosang Village Under Jengging Circle, Arunachal Pradesh",Arunachal Pradesh,landslide,downpour,large,unknown,,,94.9829,28.611
