event_id,event_date,event_title,location_description,ner_state,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,longitude,latitude,elevation_m,slope_degree,aspect_degree
2044,2010-07-06 00:00:00,"Kiphire,  Nagaland","Kiphire,  Nagaland",Nagaland,mudslide,monsoon,medium,unknown,0.0,,94.7861,25.8877,1103.6253662109375,6.996343948925652,50.704967225412474
2098,2010-07-19 06:00:00,"Jahjon ward(?), Mon town, Nagaland","Jahjon ward(?), Mon town, Nagaland",Nagaland,landslide,downpour,medium,unknown,0.0,,95.0283,26.7215,706.0902099609375,3.9986915018952107,73.37759309432857
2106,2010-07-20 00:00:00,"road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland","road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland",Nagaland,landslide,downpour,medium,unknown,0.0,,94.9921,26.8716,260.1624755859375,8.275951929068427,124.19640302192767
2113,2010-07-21 08:00:00,"Singtam-Mangan rd, Sikkim","Singtam-Mangan rd, Sikkim",Sikkim,landslide,downpour,medium,unknown,0.0,,88.559,27.3773,1502.5146484375,20.125924937091817,321.7145989182192
2140,2010-07-25 00:00:00,"road between Halfong and Redzol(?) or Silchar, Assam","road between Halfong and Redzol(?) or Silchar, Assam",Assam,landslide,downpour,medium,unknown,0.0,,92.801,25.0477,161.9722137451172,15.028150665417904,316.6358493044459
2163,2010-07-29 00:00:00,"Maram area in Senapati district, National Highway 39","Maram area in Senapati district, National Highway 39",Nagaland,landslide,downpour,medium,unknown,0.0,,94.1054,25.4196,1374.46826171875,7.726656908830892,133.31795788452393
2166,2010-07-29 00:00:00,"Highway 53 at Tupul, Tamenglong district","Highway 53 at Tupul, Tamenglong district",Assam,landslide,downpour,medium,unknown,0.0,,93.5027,24.9786,1241.24658203125,10.5113307526458,284.3647455839251
2164,2010-07-29 23:00:00,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur","Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",Manipur,landslide,downpour,medium,unknown,0.0,,94.48214677,25.3098633,1510.476806640625,12.312153725564654,134.2816068609706
2182,2010-07-31 09:00:00,Dimapur-Imphal highway (NH 39) near Manipur,Dimapur-Imphal highway (NH 39) near Manipur,Manipur,landslide,rain,medium,unknown,0.0,,93.8443,24.9356,859.7355346679688,3.4232864050470195,113.59743318473227
2205,2010-08-06 00:00:00,"Dawrpui Vengthar cemetary, Aizwal, Mizoram","Dawrpui Vengthar cemetary, Aizwal, Mizoram",Mizoram,landslide,downpour,medium,unknown,0.0,,92.7146,23.7365,937.8997192382812,5.579914920776682,339.16788080646165
2243,2010-08-13 00:00:00,"NH-39 near Kohima Municipality Council(KMC) dumping ground, between Zubza(Sechu) and Kohima, Nagaland","NH-39 near Kohima Municipality Council(KMC) dumping ground, between Zubza(Sechu) and Kohima, Nagaland",Nagaland,landslide,downpour,medium,mine,0.0,,94.04619681,25.70223725,1062.59765625,14.65956716204104,80.16608335311304
